,Equipe,PDV,Taille,Poids,Unit,Exp,Pays
Darius Garland,CLE,G,1.85,87.1,kg,2,États-Unis
Marcus Garrett,MIA,G,1.96,93.0,kg,0,États-Unis
Usman Garuba,HOU,F,2.03,103.9,kg,0,Espagne
Luka Garza,DET,C,2.08,110.2,kg,0,États-Unis
Rudy Gay,UTA,F-G,2.03,113.4,kg,15,États-Unis
Paul George,LAC,F,2.03,99.8,kg,11,États-Unis
Taj Gibson,NYK,F,2.06,105.2,kg,12,États-Unis
Josh Giddey,OKC,G,2.03,93.0,kg,0,Australie
Shai Gilgeous-Alexander,OKC,G,1.98,81.6,kg,3,Canada
Anthony Gill,WAS,F,2.01,104.3,kg,1,États-Unis
Rudy Gobert,UTA,C,2.16,117.0,kg,8,France
Aaron Gordon,DEN,F,2.03,106.6,kg,7,États-Unis
Eric Gordon,HOU,G,1.90,97.5,kg,13,États-Unis
Devonte' Graham,NOP,G,1.85,88.5,kg,3,États-Unis
Jerami Grant,DET,F,2.03,95.3,kg,7,États-Unis
Danny Green,PHI,G,1.98,97.5,kg,12,États-Unis
Draymond Green,GSW,F,1.98,104.3,kg,9,États-Unis
JaMychal Green,DEN,F-C,2.03,103.0,kg,7,États-Unis
Jalen Green,HOU,G,1.93,84.4,kg,0,États-Unis
Javonte Green,CHI,G-F,1.96,93.0,kg,2,États-Unis
Jeff Green,DEN,F,2.03,106.6,kg,13,États-Unis
Josh Green,DAL,G,1.96,90.7,kg,1,Australie
Blake Griffin,BKN,F,2.06,113.4,kg,11,États-Unis
Quentin Grimes,NYK,G,1.93,95.3,kg,0,États-Unis
Rui Hachimura,WAS,F,2.03,104.3,kg,2,Japan
Tyrese Haliburton,SAC,G,1.96,83.9,kg,1,États-Unis
R.J. Hampton,ORL,G,1.93,79.4,kg,1,États-Unis
Tim HardawayJr.,DAL,G-F,1.96,93.0,kg,8,États-Unis
James Harden,BKN,G,1.96,99.8,kg,12,États-Unis
Maurice Harkless,SAC,F-G,2.01,99.8,kg,9,États-Unis
Montrezl Harrell,WAS,F-C,2.01,108.9,kg,6,États-Unis
Gary Harris,ORL,G,1.93,95.3,kg,7,États-Unis
Joe Harris,BKN,G-F,1.98,99.8,kg,7,États-Unis
Tobias Harris,PHI,F,2.01,102.5,kg,10,États-Unis
Josh Hart,NOP,G,1.96,97.5,kg,4,États-Unis
Isaiah Hartenstein,LAC,C-F,2.13,113.4,kg,3,Allemagne
